IDRC Kenya,,Project: ,,,,,,,,,
09-May-2019,,Created : ,,,,,,,,,
Process ID,Sample ID,Sample ID,Order,Genus,Species,Subspecies,Country/Ocean,Exact Site,Lat,Lon,Elev
KALG184-10,VG111-184,VG111-184,Gelidiales,Gelidiella,Gelidiella sp.,,Kenya,,-3.225,40.13,
KALG183-10,VG111-183,VG111-183,Gelidiales,Gelidiella,Gelidiella sp.,,Kenya,,-3.225,40.13,
KALG182-10,VG111-182,VG111-182,Gelidiales,Gelidiella,Gelidiella sp.,,Kenya,,-3.225,40.13,
KALG181-10,VG111-181,VG111-181,Gelidiales,Gelidiella,Gelidiella sp.,,Kenya,,-3.225,40.13,
KALG030-10,FJ8-025,FJ8-025,Rhodymeniales,Gelidiopsis,Gelidiopsis variabilis,,Kenya,,-4.26,39.599,
KALG029-10,FJ8-024,FJ8-024,Rhodymeniales,Gelidiopsis,Gelidiopsis variabilis,,Kenya,,-4.26,39.599,
KALG028-10,FJ8-023,FJ8-023,Rhodymeniales,Gelidiopsis,Gelidiopsis variabilis,,Kenya,,-4.26,39.599,
KALG027-10,FJ8-022,FJ8-022,Rhodymeniales,Gelidiopsis,Gelidiopsis variabilis,,Kenya,,-4.26,39.599,
KALG026-10,FJ8-021,FJ8-021,Rhodymeniales,Gelidiopsis,Gelidiopsis variabilis,,Kenya,,-4.26,39.599,
KALG045-10,FJ16-045,FJ16-045,Rhodymeniales,Gelidiopsis,Gelidiopsis variabilis,,Kenya,,-4.26,39.599,
KALG044-10,FJ16-044,FJ16-044,Rhodymeniales,Gelidiopsis,Gelidiopsis variabilis,,Kenya,,-4.26,39.599,
KALG043-10,FJ16-043,FJ16-043,Rhodymeniales,Gelidiopsis,Gelidiopsis variabilis,,Kenya,,-4.26,39.599,
KALG042-10,FJ16-042,FJ16-042,Rhodymeniales,Gelidiopsis,Gelidiopsis variabilis,,Kenya,,-4.26,39.599,
KALG041-10,FJ16-041,FJ16-041,Rhodymeniales,Gelidiopsis,Gelidiopsis variabilis,,Kenya,,-4.26,39.599,
KALG107-10,CM37-107,CM37-107,Rhodymeniales,Gelidiopsis,Gelidiopsis variabilis,,Kenya,,-4.26,39.599,
KALG108-10,CM37-108,CM37-108,Rhodymeniales,Gelidiopsis,Gelidiopsis variabilis,,Kenya,,-4.26,39.599,
KALG106-10,CM37-106,CM37-106,Rhodymeniales,Gelidiopsis,Gelidiopsis variabilis,,Kenya,,-4.26,39.599,
KALG109-10,CM37-109,CM37-109,Rhodymeniales,Gelidiopsis,Gelidiopsis variabilis,,Kenya,,-4.26,39.599,
KALG110-10,CM37-110,CM37-110,Rhodymeniales,Gelidiopsis,Gelidiopsis variabilis,,Kenya,,-4.26,39.599,
KALG068-10,CM25-068,CM25-068,Gelidiales,Gelidium,Gelidium pusillum,,Kenya,,-4.26,39.599,
KALG066-10,CM25-066,CM25-066,Gelidiales,Gelidium,Gelidium pusillum,,Kenya,,-4.26,39.599,
KALG067-10,CM25-067,CM25-067,Gelidiales,Gelidium,Gelidium pusillum,,Kenya,,-4.26,39.599,
KALG069-10,CM25-069,CM25-069,Gelidiales,Gelidium,Gelidium pusillum,,Kenya,,-4.26,39.599,
KALG070-10,CM25-070,CM25-070,Gelidiales,Gelidium,Gelidium pusillum,,Kenya,,-4.26,39.599,
KALG105-10,CM36-105,CM36-105,Gelidiales,Gelidium,Gelidium sp.,,Kenya,,-4.26,39.599,
KALG101-10,CM36-101,CM36-101,Gelidiales,Gelidium,Gelidium sp.,,Kenya,,-4.26,39.599,
KALG102-10,CM36-102,CM36-102,Gelidiales,Gelidium,Gelidium sp.,,Kenya,,-4.26,39.599,
KALG103-10,CM36-103,CM36-103,Gelidiales,Gelidium,Gelidium sp.,,Kenya,,-4.26,39.599,
KALG104-10,CM36-104,CM36-104,Gelidiales,Gelidium,Gelidium sp.,,Kenya,,-4.26,39.599,
KALG095-10,CM34-095,CM34-095,Gracilariales,Gracilaria,Gracilaria corticata,,Kenya,,-4.26,39.599,
KALG002-10,FJ3-002,FJ3-002,Gracilariales,Gracilaria,Gracilaria corticata,,Kenya,,-4.26,39.599,
KALG003-10,FJ3-003,FJ3-003,Gracilariales,Gracilaria,Gracilaria corticata,,Kenya,,-4.26,39.599,
KALG004-10,FJ3-004,FJ3-004,Gracilariales,Gracilaria,Gracilaria corticata,,Kenya,,-4.26,39.599,
